gene,loading,abs_loading
gene-U712_00580,0.12533931,0.12533931
gene-U712_00585,0.10191295,0.10191295
gene-U712_00700,0.09746355,0.09746355
gene-U712_00735,0.09316955,0.09316955
gene-U712_00625,0.091827266,0.091827266
gene-U712_00600,0.09159618,0.09159618
gene-U712_10210,0.091315836,0.091315836
gene-U712_00695,0.09052001,0.09052001
gene-U712_16965,0.089866,0.089866
gene-U712_07665,0.086747095,0.086747095
gene-U712_00705,0.08656324,0.08656324
gene-U712_07310,0.08565827,0.08565827
gene-U712_07675,0.08170622,0.08170622
gene-U712_00570,0.08053239,0.08053239
gene-U712_19840,0.0794902,0.0794902
gene-U712_07300,0.07897619,0.07897619
gene-U712_00560,0.0770236,0.0770236
gene-U712_00615,0.07680274,0.07680274
gene-U712_00655,0.07668921,0.07668921
gene-U712_20290,0.076166674,0.076166674
gene-U712_20750,0.07560649,0.07560649
gene-U712_00630,0.07493979,0.07493979
gene-U712_00610,0.07472653,0.07472653
gene-U712_13780,0.07378898,0.07378898
gene-U712_13925,0.07184191,0.07184191
gene-U712_20755,0.071589574,0.071589574
gene-U712_00665,0.07119978,0.07119978
gene-U712_16980,0.07061581,0.07061581
gene-U712_19250,0.07054084,0.07054084
gene-U712_04730,0.07048743,0.07048743
