gene,loading,abs_loading
gene-U712_19480,0.1653905,0.1653905
gene-U712_19490,0.15668231,0.15668231
gene-U712_14360,0.14526144,0.14526144
gene-U712_19485,0.14301682,0.14301682
gene-U712_08455,0.1222755,0.1222755
gene-U712_05870,0.12153367,0.12153367
gene-U712_09470,0.11716664,0.11716664
gene-U712_14420,0.114116274,0.114116274
gene-U712_19495,0.11070127,0.11070127
gene-U712_11735,0.105555564,0.105555564
gene-U712_08460,0.103325754,0.103325754
gene-U712_14415,0.10313875,0.10313875
gene-U712_11725,0.10097674,0.10097674
gene-U712_06215,-0.09902469,0.09902469
gene-U712_06220,-0.09858269,0.09858269
gene-U712_10210,0.09832671,0.09832671
gene-U712_14425,0.09571376,0.09571376
gene-U712_11720,0.095571786,0.095571786
gene-U712_11730,0.093575805,0.093575805
gene-U712_11740,0.0906311,0.0906311
gene-U712_11715,0.08936489,0.08936489
gene-U712_02265,0.08880372,0.08880372
gene-U712_00600,-0.08737269,0.08737269
gene-U712_15910,0.085302696,0.085302696
gene-U712_01805,0.084308736,0.084308736
gene-U712_20290,0.08309676,0.08309676
gene-U712_19860,-0.08125018,0.08125018
gene-U712_08905,0.08097693,0.08097693
gene-U712_11710,0.08042957,0.08042957
gene-U712_19855,-0.08037939,0.08037939
